ts_code,symbol,name,industry,list_date
600325.SH,600325,华发股份,区域地产,20040225
600326.SH,600326,西藏天路,水泥,20010116
600327.SH,600327,大东方,医疗保健,20020625
600328.SH,600328,中盐化工,化工原料,20001222
600329.SH,600329,达仁堂,中成药,20010606
600330.SH,600330,天通股份,专用机械,20010118
600331.SH,600331,宏达股份,农药化肥,20011220
600332.SH,600332,白云山,中成药,20010206
600333.SH,600333,长春燃气,供气供热,20001211
600335.SH,600335,国机汽车,汽车服务,20010305
600336.SH,600336,澳柯玛,家用电器,20001229
600337.SH,600337,美克家居,家居用品,20001127
600338.SH,600338,西藏珠峰,铅锌,20001227
600339.SH,600339,中油工程,石油开采,20001225
600340.SH,600340,华夏幸福,园区开发,20031230
600343.SH,600343,航天动力,机械基件,20030408
600345.SH,600345,长江通信,通信设备,20001222
600346.SH,600346,恒力石化,石油加工,20010820
600348.SH,600348,华阳股份,煤炭开采,20030821
600350.SH,600350,山东高速,路桥,20020318
600351.SH,600351,亚宝药业,中成药,20020926
600352.SH,600352,浙江龙盛,染料涂料,20030801
600353.SH,600353,旭光电子,元器件,20021120
600354.SH,600354,敦煌种业,种植业,20040115
600355.SH,600355,*ST精伦,专用机械,20020613
600356.SH,600356,恒丰纸业,造纸,20010419
600358.SH,600358,ST联合,广告包装,20000922
600359.SH,600359,新农开发,种植业,19990429
600360.SH,600360,*ST华微,半导体,20010316
600361.SH,600361,创新新材,铝,20011129
600362.SH,600362,江西铜业,铜,20020111
600363.SH,600363,联创光电,元器件,20010329
600365.SH,600365,ST通葡,互联网,20010115
600366.SH,600366,宁波韵升,矿物制品,20001030
600367.SH,600367,红星发展,化工原料,20010320
600368.SH,600368,五洲交通,路桥,20001221
600369.SH,600369,西南证券,证券,20010109
600370.SH,600370,三房巷,化工原料,20030306
600371.SH,600371,万向德农,种植业,20020916
600372.SH,600372,中航机载,航空,20010706
600373.SH,600373,中文传媒,出版业,20020304
600375.SH,600375,汉马科技,汽车整车,20030401
600376.SH,600376,首开股份,区域地产,20010312
600377.SH,600377,宁沪高速,路桥,20010116
600378.SH,600378,昊华科技,化工原料,20010111
600379.SH,600379,宝光股份,电气设备,20020116
600380.SH,600380,健康元,化学制药,20010608
600381.SH,600381,*ST春天,医疗保健,20010508
600382.SH,600382,广东明珠,普钢,20010118
600383.SH,600383,金地集团,全国地产,20010412
600386.SH,600386,北巴传媒,汽车服务,20010216
600388.SH,600388,龙净环保,环境保护,20001229
600389.SH,600389,江山股份,农药化肥,20010110
600390.SH,600390,五矿资本,多元金融,20010115
600391.SH,600391,航发科技,航空,20011212
600392.SH,600392,盛和资源,小金属,20030529
600395.SH,600395,盘江股份,煤炭开采,20010531
600396.SH,600396,华电辽能,火力发电,20010328
600397.SH,600397,江钨装备,专用机械,20020702
600398.SH,600398,海澜之家,服饰,20001228
